distMean,outcome,rule,is_oddball
279.5308726,294,-1,0
275.2039788,247,-1,0
280.3338388,356,-1,1
275.5992522,247,-1,0
284.2715328,299,-1,0
278.5307113,318,-1,0
262.8154538,285,-1,0
254.2675628,307,-1,1
242.153863,240,-1,0
251.6015628,268,-1,0
263.4416263,305,-1,0
276.0188028,284,-1,0
273.8414487,139,-1,1
249.6383622,270,-1,0
248.3900097,246,-1,0
228.6725355,248,-1,0
219.9090398,223,-1,0
222.0902149,208,-1,0
214.3113926,253,-1,1
232.1516676,230,-1,0
233.9914043,239,-1,0
247.7194963,207,-1,0
248.5082043,233,-1,0
240.3318535,62,-1,1
247.1012448,282,-1,0
246.9855251,228,-1,0
259.3220232,278,-1,0
245.9883267,229,-1,0
234.9969273,249,-1,0
227.9038039,62,-1,1
219.0274513,200,-1,0
216.5435689,212,-1,0
216.9087067,192,-1,0
239.1644637,247,-1,0
242.7748443,266,-1,0
248.2737751,212,-1,0
266.8240429,176,-1,1
265.560604,261,-1,0
262.0114018,271,-1,0
251.8168635,222,-1,0
259.1403366,273,-1,0
261.6917153,260,-1,0
266.267509,269,-1,0
278.1174278,67,-1,1
270.5956221,278,-1,0
301.3693734,314,-1,0
296.401718,317,-1,0
291.1819925,298,-1,0
292.4689191,252,-1,0
295.0441806,265,-1,1
299.5303966,279,-1,0
308.211007,318,-1,0
299.5908283,342,-1,0
301.3357987,101,-1,1
290.5882505,271,-1,0
289.7391977,259,-1,0
295.6764848,289,-1,0
305.9659482,310,-1,0
310.9812033,319,-1,0
296.8430969,240,-1,0
290.1697789,288,-1,0
300.5924303,301,-1,0
305.1869,292,-1,0
294.6988794,284,-1,0
291.9571803,243,-1,1
292.1924836,316,-1,0
295.7559869,317,-1,0
292.8009372,278,-1,0
308.8665283,316,-1,0
314.3625541,336,-1,0
321.040005,310,-1,0
314.4294451,334,-1,0
307.9893488,289,-1,1
