distMean,outcome,pred,is_oddball,rule,is_changepoint
127,113,142.49999999999878,-1.0,1,0
127,127,127.49999999999868,-1.0,1,0
127,112,137.24999999999875,-1.0,1,0
127,131,122.99999999999866,-1.0,1,0
317,314,144.74999999999878,-1.0,1,1
317,316,337.4999999999999,-1.0,1,0
317,343,308.9999999999997,-1.0,1,0
317,333,330.74999999999983,-1.0,1,0
317,307,316.4999999999998,-1.0,1,0
317,313,341.2499999999999,-1.0,1,0
317,317,321.7499999999998,-1.0,1,0
317,324,332.99999999999983,-1.0,1,0
317,311,334.49999999999983,-1.0,1,0
317,325,303.74999999999966,-1.0,1,0
317,311,315.7499999999997,-1.0,1,0
317,342,301.49999999999966,-1.0,1,0
317,329,350.24999999999994,-1.0,1,0
317,328,317.9999999999998,-1.0,1,0
317,330,337.4999999999999,-1.0,1,0
317,308,324.7499999999998,-1.0,1,0
317,303,315.7499999999997,-1.0,1,0
317,322,326.99999999999983,-1.0,1,0
348,343,336.7499999999999,-1.0,1,1
348,344,354.74999999999994,-1.0,1,0
348,351,331.49999999999983,-1.0,1,0
348,341,354.74999999999994,-1.0,1,0
348,354,332.99999999999983,-1.0,1,0
348,328,344.9999999999999,-1.0,1,0
348,333,338.2499999999999,-1.0,1,0
348,33,347.99999999999994,-1.0,1,0
203,207,43.49999999999997,-1.0,1,1
203,244,189.75000000000065,-1.0,1,0
203,205,222.00000000000085,-1.0,1,0
203,188,215.2500000000008,-1.0,1,0
203,199,204.0000000000008,-1.0,1,0
237,212,212.2500000000008,-1.0,1,1
237,269,228.00000000000088,-1.0,1,0
237,237,249.750000000001,-1.0,1,0
237,225,223.50000000000085,-1.0,1,0
28,20,207.7500000000008,-1.0,1,1
28,54,6.750000000000002,-1.0,1,0
168,148,0.0,-1.0,1,1
168,148,129.0000000000003,-1.0,1,0
168,166,138.00000000000037,-1.0,1,0
168,156,171.75000000000057,-1.0,1,0
168,184,145.50000000000043,-1.0,1,0
128,137,173.25000000000057,-1.0,1,1
128,120,147.75000000000043,-1.0,1,0
128,110,129.7500000000003,-1.0,1,0
128,146,105.75000000000018,-1.0,1,0
128,139,133.50000000000034,-1.0,1,0
128,123,126.75000000000033,-1.0,1,0
128,144,114.00000000000024,-1.0,1,0
234,233,150.00000000000043,-1.0,1,1
234,245,249.000000000001,-1.0,1,0
234,212,257.250000000001,-1.0,1,0
234,238,219.7500000000008,-1.0,1,0
1,355,247.500000000001,-1.0,1,1
1,348,5.25,-1.0,1,0
1,340,337.4999999999999,-1.0,1,0
1,343,354.74999999999994,-1.0,1,0
334,321,335.99999999999983,-1.0,1,1
334,16,316.4999999999998,-1.0,1,0
334,7,8.25,-1.0,1,0
334,339,360.0,-1.0,1,0
89,107,327.74999999999983,-1.0,1,1
89,84,130.50000000000034,-1.0,1,0
89,67,94.50000000000011,-1.0,1,0
89,77,58.49999999999992,-1.0,1,0
194,175,90.0000000000001,-1.0,1,1
194,178,183.75000000000065,-1.0,1,0
194,168,167.25000000000054,-1.0,1,0
194,157,156.75000000000048,-1.0,1,0
267,266,148.50000000000043,-1.0,1,1
267,262,279.00000000000114,-1.0,1,0
267,276,250.500000000001,-1.0,1,0
267,261,265.5000000000011,-1.0,1,0
267,289,249.000000000001,-1.0,1,0
267,245,300.7500000000013,-1.0,1,0
99,120,255.75000000000105,-1.0,1,1
99,122,91.50000000000011,-1.0,1,0
99,129,111.0000000000002,-1.0,1,0
99,99,138.75000000000037,-1.0,1,0
99,98,110.2500000000002,-1.0,1,0
99,85,105.75000000000018,-1.0,1,0
21,27,93.00000000000011,-1.0,1,1
21,22,17.249999999999982,-1.0,1,0
21,53,34.499999999999986,-1.0,1,0
21,12,42.74999999999996,-1.0,1,0
21,51,28.5,-1.0,1,0
21,30,44.24999999999996,-1.0,1,0
248,238,17.999999999999982,-1.0,1,1
248,246,250.4999999999993,-1.0,1,0
248,245,257.24999999999943,-1.0,1,0
248,265,249.7499999999993,-1.0,1,0
248,281,256.49999999999943,-1.0,1,0
248,237,272.2499999999995,-1.0,1,0
248,245,247.4999999999993,-1.0,1,0
248,270,259.49999999999943,-1.0,1,0
158,163,275.99999999999955,-1.0,1,1
158,161,172.49999999999895,-1.0,1,0
86,61,74.25000000000003,-1.0,1,1
86,95,51.74999999999995,-1.0,1,0
86,95,87.0000000000001,-1.0,1,0
86,78,99.00000000000016,-1.0,1,0
86,72,72.00000000000001,-1.0,1,0
254,256,59.249999999999936,-1.0,1,1
254,255,239.2500000000009,-1.0,1,0
254,277,261.0000000000011,-1.0,1,0
254,239,284.2500000000012,-1.0,1,0
254,250,246.750000000001,-1.0,1,0
